GP_Type,Country,Practice_Type,Gender,Age,'\'Sample Count\'','\'Average Tot Expenses\'',EER,'\'Average Total Expenses\'','\'Average Office and General Business\'','\'Average Employee\'','\'Average Interest\'','\'Average Other\'','Average Net Capital Allowances\'','\'\%Zero Employee\'','\'\%Zero Car and Travel\'','\'Median Income Before Tax\''
Salaried,Wales,Non-dispensing,Female,<40,-0.375843,-1.466362,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,<40,-0.483543,-1.466362,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=40<50,-0.483543,-1.467124,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Wales,Non-dispensing,Female,>=50<60,-0.483543,-1.462555,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.268143,-1.454179,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.441235,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.375843,-1.456464,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.451134,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.450372,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.483543,-1.485398,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.375843,-1.448088,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.411743,-1.460271,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,<40,-0.375843,-1.456464,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=40<50,-0.447643,-1.440474,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=50<60,-0.483543,-1.458748,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Female,>=60,-0.483543,-1.490728,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
Salaried,Scotland,Non-dispensing,Male,<40,-0.447643,-1.433621,0,-0,0,0,-0,0,0,-0,0,'\'(-inf-95125]\''
